isbn,name,author,stock,publisher,,price,borroweCount,type
,贝多芬传,(法)罗曼·罗兰/傅雷,1,人民音乐出版社,1978-09-01 00:00:00,0.39 ,0,2
,傅雷家书,傅敏(编),2,生活·读书·新知三联书店,1981-08-01 00:00:00,0.95 ,0,2
,指尖下的音乐,[美]露丝·史兰倩丝卡/王润婷,2,广西师范大学出版社,2008-06-01 00:00:00,28.00 ,0,2
,企鹅激光唱片指南,伊万?马奇等,2,商务印书馆,1999-06-01 00:00:00,248.00 ,0,2
,音樂的極境,薩依德/彭淮棟,1,太陽社,2009-12-19 00:00:00,TW499,0,2
,四月是你的謊言 01,新川直司/趙秋鳳,2,東立出版社,2014-01-20 00:00:00,100.00 ,0,2
,昆曲日记（修订版）,张允和著,1,中央编译出版社,2012-07-01 00:00:00,86.00 ,0,2
,莫扎特和他的歌剧,大卫·凯恩斯/谢瑛华,2,上海三联书店,2012-03-01 00:00:00,49.00 ,0,2
,四重奏,LISK,2,上海人民美术出版社,2013-06-01 00:00:00,35.00 ,0,2
,伯克利爵士作曲/理论与实践,(美)特德·辟斯|译者:赵仲明/赵仲明,1,人民音乐,2009-09-01 00:00:00,75.00 ,0,2
,我為什麼要練琴,蓋瑞．葛拉夫曼/陳泠竹,1,遠流出版事業股份有限公司,2011-04-01 00:00:00,HK120.00,0,2
,电子舞曲手册,尼奥曼,2,李化迪,2012-07-01 00:00:00,120.00 ,0,2
,中国古筝考级曲集,上海筝会编,2,上海音乐出版社,2005-01-01 00:00:00,48.00 ,0,2
,霍曼小提琴基础教程,霍曼,2,人民音乐出版社,2004-08-01 00:00:00,41.50 ,0,2
,只是孩子,[美]帕蒂?史密斯/刘奕,2,广西师范大学出版社,2012-10-01 00:00:00,39.00 ,0,2
,盖特露德,[德]赫尔曼·黑塞/谢莹莹/卞虹,1,上海人民出版社,2009-03-01 00:00:00,22.00 ,0,2
,古典风格,查尔斯·罗森/杨燕迪,1,华东师范大学出版社,2014-08-01 00:00:00,138.00 ,0,2
,迈尔斯·戴维斯自传,迈尔斯·戴维斯/昆西·特鲁普/孙侃/李奇,2,湖南人民出版社,2014-01-01 00:00:00,78.00 ,0,2
,怎样欣赏音乐,[美]艾伦·科普兰/丁少良/叶琼芳[校],1,人民音乐出版社,1905-06-06 00:00:00,0.78 ,0,2
,中国古代音乐史简述,刘再生,2,人民音乐出版社,2006-05-01 00:00:00,38.00 ,0,2
,东亚乐器考,[日]林谦三/钱稻孙,1,上海书店出版社,2013-07-01 00:00:00,48.00 ,0,2
,宁静乐园,马慧,2,上海文艺出版社,2012-06-01 00:00:00,45.00 ,0,2
,尼伯龙根的指环,[德]威廉?理查德?瓦格纳/鲁路,2,吉林出版集团有限责任公司,2010-10-01 00:00:00,66.00 ,0,2
,The Secret Piano,ZhuXiao-Mei/EllenHinsey,1,AmazonCrossing,2012-03-06 00:00:00,14.95 ,0,2
,音乐圣经,林逸聪,2,华夏出版社,1999年,90.00 ,0,2
,披头士,[挪威]拉什·索比耶·克里斯滕森/宁蒙,1,上海文艺出版社,2013-03-14 00:00:00,49.00 ,0,2
,古琴初阶,沈草农/查阜西,2,张子谦,音乐出版社,,0,2
,爱情是一盘自制卡带,[美]罗布?谢菲尔德/冯倩珠,2,南京大学出版社,2013-05-01 00:00:00,24.00 ,0,2
,音乐圣经,林逸聪,2,华夏出版社,2000-01-01 00:00:00,90.00 ,0,2
